customer_no,timestamp,location,dow,time,day_period
1000_wednesday,2019-09-04 16:54:00,dairy,wednesday,16:54:00,evening
1000_wednesday,2019-09-04 16:55:00,dairy,wednesday,16:54:00,evening
1000_wednesday,2019-09-04 16:56:00,dairy,wednesday,16:54:00,evening
1000_wednesday,2019-09-04 16:57:00,dairy,wednesday,16:54:00,evening
1000_wednesday,2019-09-04 16:58:00,dairy,wednesday,16:54:00,evening
1000_wednesday,2019-09-04 16:59:00,dairy,wednesday,16:54:00,evening
1000_wednesday,2019-09-04 17:00:00,dairy,wednesday,16:54:00,evening
1000_wednesday,2019-09-04 17:01:00,dairy,wednesday,16:54:00,evening
1000_wednesday,2019-09-04 17:02:00,dairy,wednesday,16:54:00,evening
1000_wednesday,2019-09-04 17:03:00,spices,wednesday,17:03:00,evening
1000_wednesday,2019-09-04 17:04:00,spices,wednesday,17:03:00,evening
1000_wednesday,2019-09-04 17:05:00,spices,wednesday,17:03:00,evening
1000_wednesday,2019-09-04 17:06:00,checkout,wednesday,17:06:00,evening
1001_friday,2019-09-06 17:19:00,fruit,friday,17:19:00,evening
1001_friday,2019-09-06 17:20:00,fruit,friday,17:19:00,evening
1001_friday,2019-09-06 17:21:00,drinks,friday,17:21:00,evening
1001_friday,2019-09-06 17:22:00,drinks,friday,17:21:00,evening
1001_friday,2019-09-06 17:23:00,spices,friday,17:23:00,evening
1001_friday,2019-09-06 17:24:00,drinks,friday,17:24:00,evening
1001_friday,2019-09-06 17:25:00,drinks,friday,17:24:00,evening
1001_friday,2019-09-06 17:26:00,drinks,friday,17:24:00,evening
1001_friday,2019-09-06 17:27:00,fruit,friday,17:27:00,evening
1001_friday,2019-09-06 17:28:00,fruit,friday,17:27:00,evening
1001_friday,2019-09-06 17:29:00,checkout,friday,17:29:00,evening
1001_monday,2019-09-02 17:45:00,fruit,monday,17:45:00,evening
1001_monday,2019-09-02 17:46:00,checkout,monday,17:46:00,evening
1001_thursday,2019-09-05 17:24:00,dairy,thursday,17:24:00,evening
1001_thursday,2019-09-05 17:25:00,dairy,thursday,17:24:00,evening
1001_thursday,2019-09-05 17:26:00,dairy,thursday,17:24:00,evening
1001_thursday,2019-09-05 17:27:00,fruit,thursday,17:27:00,evening
1001_thursday,2019-09-05 17:28:00,fruit,thursday,17:27:00,evening
1001_thursday,2019-09-05 17:29:00,fruit,thursday,17:27:00,evening
1001_thursday,2019-09-05 17:30:00,dairy,thursday,17:30:00,evening
1001_thursday,2019-09-05 17:31:00,dairy,thursday,17:30:00,evening
1001_thursday,2019-09-05 17:32:00,dairy,thursday,17:30:00,evening
1001_thursday,2019-09-05 17:33:00,dairy,thursday,17:30:00,evening
1001_thursday,2019-09-05 17:34:00,dairy,thursday,17:30:00,evening
1001_thursday,2019-09-05 17:35:00,dairy,thursday,17:30:00,evening
1001_thursday,2019-09-05 17:36:00,dairy,thursday,17:30:00,evening
1001_thursday,2019-09-05 17:37:00,dairy,thursday,17:30:00,evening
1001_thursday,2019-09-05 17:38:00,dairy,thursday,17:30:00,evening
1001_thursday,2019-09-05 17:39:00,dairy,thursday,17:30:00,evening
1001_thursday,2019-09-05 17:40:00,dairy,thursday,17:30:00,evening
1001_thursday,2019-09-05 17:41:00,drinks,thursday,17:41:00,evening
1001_thursday,2019-09-05 17:42:00,fruit,thursday,17:42:00,evening
1001_thursday,2019-09-05 17:43:00,fruit,thursday,17:42:00,evening
1001_thursday,2019-09-05 17:44:00,fruit,thursday,17:42:00,evening
1001_thursday,2019-09-05 17:45:00,fruit,thursday,17:42:00,evening
1001_thursday,2019-09-05 17:46:00,fruit,thursday,17:42:00,evening
1001_thursday,2019-09-05 17:47:00,fruit,thursday,17:42:00,evening
1001_thursday,2019-09-05 17:48:00,fruit,thursday,17:42:00,evening
1001_thursday,2019-09-05 17:49:00,fruit,thursday,17:42:00,evening
1001_thursday,2019-09-05 17:50:00,fruit,thursday,17:42:00,evening
1001_thursday,2019-09-05 17:51:00,fruit,thursday,17:42:00,evening
1001_thursday,2019-09-05 17:52:00,fruit,thursday,17:42:00,evening
1001_thursday,2019-09-05 17:53:00,checkout,thursday,17:53:00,evening
1001_tuesday,2019-09-03 17:53:00,fruit,tuesday,17:53:00,evening
1001_tuesday,2019-09-03 17:54:00,dairy,tuesday,17:54:00,evening
1001_tuesday,2019-09-03 17:55:00,dairy,tuesday,17:54:00,evening
1001_tuesday,2019-09-03 17:56:00,dairy,tuesday,17:54:00,evening
1001_tuesday,2019-09-03 17:57:00,dairy,tuesday,17:54:00,evening
1001_tuesday,2019-09-03 17:58:00,dairy,tuesday,17:54:00,evening
1001_tuesday,2019-09-03 17:59:00,dairy,tuesday,17:54:00,evening
1001_tuesday,2019-09-03 18:00:00,dairy,tuesday,17:54:00,evening
1001_tuesday,2019-09-03 18:01:00,dairy,tuesday,17:54:00,evening
1001_tuesday,2019-09-03 18:02:00,dairy,tuesday,17:54:00,evening
1001_tuesday,2019-09-03 18:03:00,dairy,tuesday,17:54:00,evening
1001_tuesday,2019-09-03 18:04:00,dairy,tuesday,17:54:00,evening
1001_tuesday,2019-09-03 18:05:00,dairy,tuesday,17:54:00,evening
1001_tuesday,2019-09-03 18:06:00,dairy,tuesday,17:54:00,evening
1001_tuesday,2019-09-03 18:07:00,dairy,tuesday,17:54:00,evening
1001_tuesday,2019-09-03 18:08:00,drinks,tuesday,18:08:00,evening
1001_tuesday,2019-09-03 18:09:00,drinks,tuesday,18:08:00,evening
1001_tuesday,2019-09-03 18:10:00,spices,tuesday,18:10:00,evening
1001_tuesday,2019-09-03 18:11:00,spices,tuesday,18:10:00,evening
1001_tuesday,2019-09-03 18:12:00,spices,tuesday,18:10:00,evening
1001_tuesday,2019-09-03 18:13:00,checkout,tuesday,18:13:00,evening
1001_wednesday,2019-09-04 16:53:00,spices,wednesday,16:53:00,evening
1001_wednesday,2019-09-04 16:54:00,spices,wednesday,16:53:00,evening
1001_wednesday,2019-09-04 16:55:00,drinks,wednesday,16:55:00,evening
1001_wednesday,2019-09-04 16:56:00,checkout,wednesday,16:56:00,evening
1002_friday,2019-09-06 17:19:00,dairy,friday,17:19:00,evening
1002_friday,2019-09-06 17:20:00,dairy,friday,17:19:00,evening
1002_friday,2019-09-06 17:21:00,dairy,friday,17:19:00,evening
1002_friday,2019-09-06 17:22:00,dairy,friday,17:19:00,evening
1002_friday,2019-09-06 17:23:00,dairy,friday,17:19:00,evening
1002_friday,2019-09-06 17:24:00,dairy,friday,17:19:00,evening
1002_friday,2019-09-06 17:25:00,dairy,friday,17:19:00,evening
1002_friday,2019-09-06 17:26:00,fruit,friday,17:26:00,evening
1002_friday,2019-09-06 17:27:00,fruit,friday,17:26:00,evening
1002_friday,2019-09-06 17:28:00,dairy,friday,17:28:00,evening
1002_friday,2019-09-06 17:29:00,checkout,friday,17:29:00,evening
1002_monday,2019-09-02 17:45:00,drinks,monday,17:45:00,evening
1002_monday,2019-09-02 17:46:00,drinks,monday,17:45:00,evening
1002_monday,2019-09-02 17:47:00,drinks,monday,17:45:00,evening
1002_monday,2019-09-02 17:48:00,checkout,monday,17:48:00,evening
1002_thursday,2019-09-05 17:24:00,drinks,thursday,17:24:00,evening
1002_thursday,2019-09-05 17:25:00,drinks,thursday,17:24:00,evening
1002_thursday,2019-09-05 17:26:00,drinks,thursday,17:24:00,evening
1002_thursday,2019-09-05 17:27:00,drinks,thursday,17:24:00,evening
1002_thursday,2019-09-05 17:28:00,checkout,thursday,17:28:00,evening
1002_tuesday,2019-09-03 17:53:00,fruit,tuesday,17:53:00,evening
1002_tuesday,2019-09-03 17:54:00,fruit,tuesday,17:53:00,evening
1002_tuesday,2019-09-03 17:55:00,fruit,tuesday,17:53:00,evening
1002_tuesday,2019-09-03 17:56:00,fruit,tuesday,17:53:00,evening
1002_tuesday,2019-09-03 17:57:00,checkout,tuesday,17:57:00,evening
1002_wednesday,2019-09-04 16:54:00,dairy,wednesday,16:54:00,evening
1002_wednesday,2019-09-04 16:55:00,dairy,wednesday,16:54:00,evening
1002_wednesday,2019-09-04 16:56:00,checkout,wednesday,16:56:00,evening
1003_friday,2019-09-06 17:19:00,dairy,friday,17:19:00,evening
1003_friday,2019-09-06 17:20:00,dairy,friday,17:19:00,evening
1003_friday,2019-09-06 17:21:00,dairy,friday,17:19:00,evening
1003_friday,2019-09-06 17:22:00,dairy,friday,17:19:00,evening
1003_friday,2019-09-06 17:23:00,dairy,friday,17:19:00,evening
1003_friday,2019-09-06 17:24:00,dairy,friday,17:19:00,evening
1003_friday,2019-09-06 17:25:00,dairy,friday,17:19:00,evening
1003_friday,2019-09-06 17:26:00,dairy,friday,17:19:00,evening
1003_friday,2019-09-06 17:27:00,dairy,friday,17:19:00,evening
1003_friday,2019-09-06 17:28:00,checkout,friday,17:28:00,evening
1003_monday,2019-09-02 17:46:00,fruit,monday,17:46:00,evening
1003_monday,2019-09-02 17:47:00,fruit,monday,17:46:00,evening
1003_monday,2019-09-02 17:48:00,dairy,monday,17:48:00,evening
1003_monday,2019-09-02 17:49:00,dairy,monday,17:48:00,evening
1003_monday,2019-09-02 17:50:00,dairy,monday,17:48:00,evening
1003_monday,2019-09-02 17:51:00,dairy,monday,17:48:00,evening
1003_monday,2019-09-02 17:52:00,dairy,monday,17:48:00,evening
1003_monday,2019-09-02 17:53:00,checkout,monday,17:53:00,evening
1003_thursday,2019-09-05 17:25:00,spices,thursday,17:25:00,evening
1003_thursday,2019-09-05 17:26:00,checkout,thursday,17:26:00,evening
1003_tuesday,2019-09-03 17:55:00,fruit,tuesday,17:55:00,evening
1003_tuesday,2019-09-03 17:56:00,fruit,tuesday,17:55:00,evening
1003_tuesday,2019-09-03 17:57:00,fruit,tuesday,17:55:00,evening
1003_tuesday,2019-09-03 17:58:00,fruit,tuesday,17:55:00,evening
1003_tuesday,2019-09-03 17:59:00,fruit,tuesday,17:55:00,evening
1003_tuesday,2019-09-03 18:00:00,spices,tuesday,18:00:00,evening
1003_tuesday,2019-09-03 18:01:00,spices,tuesday,18:00:00,evening
1003_tuesday,2019-09-03 18:02:00,spices,tuesday,18:00:00,evening
1003_tuesday,2019-09-03 18:03:00,drinks,tuesday,18:03:00,evening
1003_tuesday,2019-09-03 18:04:00,drinks,tuesday,18:03:00,evening
1003_tuesday,2019-09-03 18:05:00,drinks,tuesday,18:03:00,evening
1003_tuesday,2019-09-03 18:06:00,fruit,tuesday,18:06:00,evening
1003_tuesday,2019-09-03 18:07:00,fruit,tuesday,18:06:00,evening
1003_tuesday,2019-09-03 18:08:00,drinks,tuesday,18:08:00,evening
1003_tuesday,2019-09-03 18:09:00,drinks,tuesday,18:08:00,evening
1003_tuesday,2019-09-03 18:10:00,drinks,tuesday,18:08:00,evening
1003_tuesday,2019-09-03 18:11:00,spices,tuesday,18:11:00,evening
1003_tuesday,2019-09-03 18:12:00,spices,tuesday,18:11:00,evening
1003_tuesday,2019-09-03 18:13:00,spices,tuesday,18:11:00,evening
1003_tuesday,2019-09-03 18:14:00,dairy,tuesday,18:14:00,evening
1003_tuesday,2019-09-03 18:15:00,dairy,tuesday,18:14:00,evening
1003_tuesday,2019-09-03 18:16:00,fruit,tuesday,18:16:00,evening
1003_tuesday,2019-09-03 18:17:00,fruit,tuesday,18:16:00,evening
1003_tuesday,2019-09-03 18:18:00,fruit,tuesday,18:16:00,evening
1003_tuesday,2019-09-03 18:19:00,dairy,tuesday,18:19:00,evening
1003_tuesday,2019-09-03 18:20:00,spices,tuesday,18:20:00,evening
1003_tuesday,2019-09-03 18:21:00,drinks,tuesday,18:21:00,evening
1003_tuesday,2019-09-03 18:22:00,drinks,tuesday,18:21:00,evening
1003_tuesday,2019-09-03 18:23:00,drinks,tuesday,18:21:00,evening
1003_tuesday,2019-09-03 18:24:00,drinks,tuesday,18:21:00,evening
1003_tuesday,2019-09-03 18:25:00,checkout,tuesday,18:25:00,evening
1003_wednesday,2019-09-04 16:55:00,fruit,wednesday,16:55:00,evening
1003_wednesday,2019-09-04 16:56:00,dairy,wednesday,16:56:00,evening
1003_wednesday,2019-09-04 16:57:00,dairy,wednesday,16:56:00,evening
1003_wednesday,2019-09-04 16:58:00,drinks,wednesday,16:58:00,evening
1003_wednesday,2019-09-04 16:59:00,drinks,wednesday,16:58:00,evening
1003_wednesday,2019-09-04 17:00:00,fruit,wednesday,17:00:00,evening
1003_wednesday,2019-09-04 17:01:00,fruit,wednesday,17:00:00,evening
1003_wednesday,2019-09-04 17:02:00,dairy,wednesday,17:02:00,evening
1003_wednesday,2019-09-04 17:03:00,checkout,wednesday,17:03:00,evening
1004_friday,2019-09-06 17:19:00,drinks,friday,17:19:00,evening
1004_friday,2019-09-06 17:20:00,spices,friday,17:20:00,evening
1004_friday,2019-09-06 17:21:00,dairy,friday,17:21:00,evening
1004_friday,2019-09-06 17:22:00,dairy,friday,17:21:00,evening
1004_friday,2019-09-06 17:23:00,fruit,friday,17:23:00,evening
1004_friday,2019-09-06 17:24:00,fruit,friday,17:23:00,evening
1004_friday,2019-09-06 17:25:00,fruit,friday,17:23:00,evening
1004_friday,2019-09-06 17:26:00,dairy,friday,17:26:00,evening
1004_friday,2019-09-06 17:27:00,dairy,friday,17:26:00,evening
1004_friday,2019-09-06 17:28:00,dairy,friday,17:26:00,evening
1004_friday,2019-09-06 17:29:00,dairy,friday,17:26:00,evening
1004_friday,2019-09-06 17:30:00,dairy,friday,17:26:00,evening
1004_friday,2019-09-06 17:31:00,dairy,friday,17:26:00,evening
1004_friday,2019-09-06 17:32:00,dairy,friday,17:26:00,evening
1004_friday,2019-09-06 17:33:00,dairy,friday,17:26:00,evening
1004_friday,2019-09-06 17:34:00,dairy,friday,17:26:00,evening
1004_friday,2019-09-06 17:35:00,dairy,friday,17:26:00,evening
1004_friday,2019-09-06 17:36:00,dairy,friday,17:26:00,evening
1004_friday,2019-09-06 17:37:00,dairy,friday,17:26:00,evening
1004_friday,2019-09-06 17:38:00,dairy,friday,17:26:00,evening
1004_friday,2019-09-06 17:39:00,dairy,friday,17:26:00,evening
1004_friday,2019-09-06 17:40:00,dairy,friday,17:26:00,evening
1004_friday,2019-09-06 17:41:00,dairy,friday,17:26:00,evening
1004_friday,2019-09-06 17:42:00,dairy,friday,17:26:00,evening
1004_friday,2019-09-06 17:43:00,spices,friday,17:43:00,evening
1004_friday,2019-09-06 17:44:00,dairy,friday,17:44:00,evening
1004_friday,2019-09-06 17:45:00,dairy,friday,17:44:00,evening
1004_friday,2019-09-06 17:46:00,dairy,friday,17:44:00,evening
1004_friday,2019-09-06 17:47:00,dairy,friday,17:44:00,evening
1004_friday,2019-09-06 17:48:00,fruit,friday,17:48:00,evening
1004_friday,2019-09-06 17:49:00,fruit,friday,17:48:00,evening
1004_friday,2019-09-06 17:50:00,fruit,friday,17:48:00,evening
1004_friday,2019-09-06 17:51:00,checkout,friday,17:51:00,evening
1004_monday,2019-09-02 17:46:00,drinks,monday,17:46:00,evening
1004_monday,2019-09-02 17:47:00,drinks,monday,17:46:00,evening
1004_monday,2019-09-02 17:48:00,drinks,monday,17:46:00,evening
1004_monday,2019-09-02 17:49:00,checkout,monday,17:49:00,evening
1004_thursday,2019-09-05 17:25:00,fruit,thursday,17:25:00,evening
1004_thursday,2019-09-05 17:26:00,drinks,thursday,17:26:00,evening
1004_thursday,2019-09-05 17:27:00,fruit,thursday,17:27:00,evening
1004_thursday,2019-09-05 17:28:00,checkout,thursday,17:28:00,evening
1004_tuesday,2019-09-03 17:55:00,dairy,tuesday,17:55:00,evening
1004_tuesday,2019-09-03 17:56:00,dairy,tuesday,17:55:00,evening
1004_tuesday,2019-09-03 17:57:00,spices,tuesday,17:57:00,evening
1004_tuesday,2019-09-03 17:58:00,fruit,tuesday,17:58:00,evening
1004_tuesday,2019-09-03 17:59:00,checkout,tuesday,17:59:00,evening
1004_wednesday,2019-09-04 16:56:00,spices,wednesday,16:56:00,evening
1004_wednesday,2019-09-04 16:57:00,spices,wednesday,16:56:00,evening
1004_wednesday,2019-09-04 16:58:00,spices,wednesday,16:56:00,evening
1004_wednesday,2019-09-04 16:59:00,spices,wednesday,16:56:00,evening
1004_wednesday,2019-09-04 17:00:00,spices,wednesday,16:56:00,evening
1004_wednesday,2019-09-04 17:01:00,dairy,wednesday,17:01:00,evening
1004_wednesday,2019-09-04 17:02:00,dairy,wednesday,17:01:00,evening
1004_wednesday,2019-09-04 17:03:00,dairy,wednesday,17:01:00,evening
1004_wednesday,2019-09-04 17:04:00,dairy,wednesday,17:01:00,evening
1004_wednesday,2019-09-04 17:05:00,dairy,wednesday,17:01:00,evening
1004_wednesday,2019-09-04 17:06:00,dairy,wednesday,17:01:00,evening
1004_wednesday,2019-09-04 17:07:00,dairy,wednesday,17:01:00,evening
1004_wednesday,2019-09-04 17:08:00,dairy,wednesday,17:01:00,evening
1004_wednesday,2019-09-04 17:09:00,checkout,wednesday,17:09:00,evening
1005_friday,2019-09-06 17:19:00,spices,friday,17:19:00,evening
1005_friday,2019-09-06 17:20:00,fruit,friday,17:20:00,evening
1005_friday,2019-09-06 17:21:00,fruit,friday,17:20:00,evening
1005_friday,2019-09-06 17:22:00,fruit,friday,17:20:00,evening
1005_friday,2019-09-06 17:23:00,drinks,friday,17:23:00,evening
1005_friday,2019-09-06 17:24:00,drinks,friday,17:23:00,evening
1005_friday,2019-09-06 17:25:00,drinks,friday,17:23:00,evening
1005_friday,2019-09-06 17:26:00,checkout,friday,17:26:00,evening
1005_monday,2019-09-02 17:48:00,fruit,monday,17:48:00,evening
1005_monday,2019-09-02 17:49:00,fruit,monday,17:48:00,evening
1005_monday,2019-09-02 17:50:00,fruit,monday,17:48:00,evening
1005_monday,2019-09-02 17:51:00,fruit,monday,17:48:00,evening
1005_monday,2019-09-02 17:52:00,fruit,monday,17:48:00,evening
1005_monday,2019-09-02 17:53:00,spices,monday,17:53:00,evening
1005_monday,2019-09-02 17:54:00,dairy,monday,17:54:00,evening
1005_monday,2019-09-02 17:55:00,dairy,monday,17:54:00,evening
1005_monday,2019-09-02 17:56:00,dairy,monday,17:54:00,evening
1005_monday,2019-09-02 17:57:00,dairy,monday,17:54:00,evening
1005_monday,2019-09-02 17:58:00,dairy,monday,17:54:00,evening
1005_monday,2019-09-02 17:59:00,fruit,monday,17:59:00,evening
1005_monday,2019-09-02 18:00:00,fruit,monday,17:59:00,evening
1005_monday,2019-09-02 18:01:00,checkout,monday,18:01:00,evening
1005_thursday,2019-09-05 17:27:00,fruit,thursday,17:27:00,evening
1005_thursday,2019-09-05 17:28:00,checkout,thursday,17:28:00,evening
1005_tuesday,2019-09-03 17:55:00,dairy,tuesday,17:55:00,evening
1005_tuesday,2019-09-03 17:56:00,dairy,tuesday,17:55:00,evening
1005_tuesday,2019-09-03 17:57:00,dairy,tuesday,17:55:00,evening
1005_tuesday,2019-09-03 17:58:00,dairy,tuesday,17:55:00,evening
1005_tuesday,2019-09-03 17:59:00,checkout,tuesday,17:59:00,evening
1005_wednesday,2019-09-04 16:56:00,spices,wednesday,16:56:00,evening
1005_wednesday,2019-09-04 16:57:00,drinks,wednesday,16:57:00,evening
1005_wednesday,2019-09-04 16:58:00,drinks,wednesday,16:57:00,evening
1005_wednesday,2019-09-04 16:59:00,spices,wednesday,16:59:00,evening
1005_wednesday,2019-09-04 17:00:00,checkout,wednesday,17:00:00,evening
1006_friday,2019-09-06 17:21:00,spices,friday,17:21:00,evening
1006_friday,2019-09-06 17:22:00,spices,friday,17:21:00,evening
1006_friday,2019-09-06 17:23:00,drinks,friday,17:23:00,evening
1006_friday,2019-09-06 17:24:00,drinks,friday,17:23:00,evening
1006_friday,2019-09-06 17:25:00,fruit,friday,17:25:00,evening
1006_friday,2019-09-06 17:26:00,dairy,friday,17:26:00,evening
1006_friday,2019-09-06 17:27:00,dairy,friday,17:26:00,evening
1006_friday,2019-09-06 17:28:00,fruit,friday,17:28:00,evening
1006_friday,2019-09-06 17:29:00,checkout,friday,17:29:00,evening
1006_monday,2019-09-02 17:48:00,dairy,monday,17:48:00,evening
1006_monday,2019-09-02 17:49:00,fruit,monday,17:49:00,evening
1006_monday,2019-09-02 17:50:00,fruit,monday,17:49:00,evening
1006_monday,2019-09-02 17:51:00,fruit,monday,17:49:00,evening
1006_monday,2019-09-02 17:52:00,checkout,monday,17:52:00,evening
1006_thursday,2019-09-05 17:28:00,fruit,thursday,17:28:00,evening
1006_thursday,2019-09-05 17:29:00,fruit,thursday,17:28:00,evening
1006_thursday,2019-09-05 17:30:00,fruit,thursday,17:28:00,evening
1006_thursday,2019-09-05 17:31:00,checkout,thursday,17:31:00,evening
1006_tuesday,2019-09-03 17:57:00,spices,tuesday,17:57:00,evening
1006_tuesday,2019-09-03 17:58:00,spices,tuesday,17:57:00,evening
1006_tuesday,2019-09-03 17:59:00,dairy,tuesday,17:59:00,evening
1006_tuesday,2019-09-03 18:00:00,dairy,tuesday,17:59:00,evening
1006_tuesday,2019-09-03 18:01:00,dairy,tuesday,17:59:00,evening
1006_tuesday,2019-09-03 18:02:00,dairy,tuesday,17:59:00,evening
1006_tuesday,2019-09-03 18:03:00,dairy,tuesday,17:59:00,evening
1006_tuesday,2019-09-03 18:04:00,dairy,tuesday,17:59:00,evening
1006_tuesday,2019-09-03 18:05:00,dairy,tuesday,17:59:00,evening
1006_tuesday,2019-09-03 18:06:00,dairy,tuesday,17:59:00,evening
1006_tuesday,2019-09-03 18:07:00,dairy,tuesday,17:59:00,evening
1006_tuesday,2019-09-03 18:08:00,dairy,tuesday,17:59:00,evening
1006_tuesday,2019-09-03 18:09:00,checkout,tuesday,18:09:00,evening
1006_wednesday,2019-09-04 16:56:00,spices,wednesday,16:56:00,evening
1006_wednesday,2019-09-04 16:57:00,spices,wednesday,16:56:00,evening
1006_wednesday,2019-09-04 16:58:00,checkout,wednesday,16:58:00,evening
1007_friday,2019-09-06 17:21:00,dairy,friday,17:21:00,evening
1007_friday,2019-09-06 17:22:00,checkout,friday,17:22:00,evening
1007_monday,2019-09-02 17:48:00,fruit,monday,17:48:00,evening
1007_monday,2019-09-02 17:49:00,checkout,monday,17:49:00,evening
1007_thursday,2019-09-05 17:28:00,drinks,thursday,17:28:00,evening
1007_thursday,2019-09-05 17:29:00,checkout,thursday,17:29:00,evening
1007_tuesday,2019-09-03 17:57:00,fruit,tuesday,17:57:00,evening
1007_tuesday,2019-09-03 17:58:00,fruit,tuesday,17:57:00,evening
1007_tuesday,2019-09-03 17:59:00,fruit,tuesday,17:57:00,evening
1007_tuesday,2019-09-03 18:00:00,fruit,tuesday,17:57:00,evening
1007_tuesday,2019-09-03 18:01:00,checkout,tuesday,18:01:00,evening
1007_wednesday,2019-09-04 16:56:00,dairy,wednesday,16:56:00,evening
1007_wednesday,2019-09-04 16:57:00,dairy,wednesday,16:56:00,evening
1007_wednesday,2019-09-04 16:58:00,dairy,wednesday,16:56:00,evening
1007_wednesday,2019-09-04 16:59:00,dairy,wednesday,16:56:00,evening
1007_wednesday,2019-09-04 17:00:00,dairy,wednesday,16:56:00,evening
1007_wednesday,2019-09-04 17:01:00,dairy,wednesday,16:56:00,evening
1007_wednesday,2019-09-04 17:02:00,dairy,wednesday,16:56:00,evening
1007_wednesday,2019-09-04 17:03:00,dairy,wednesday,16:56:00,evening
1007_wednesday,2019-09-04 17:04:00,dairy,wednesday,16:56:00,evening
1007_wednesday,2019-09-04 17:05:00,dairy,wednesday,16:56:00,evening
1007_wednesday,2019-09-04 17:06:00,dairy,wednesday,16:56:00,evening
1007_wednesday,2019-09-04 17:07:00,dairy,wednesday,16:56:00,evening
1007_wednesday,2019-09-04 17:08:00,dairy,wednesday,16:56:00,evening
1007_wednesday,2019-09-04 17:09:00,dairy,wednesday,16:56:00,evening
1007_wednesday,2019-09-04 17:10:00,spices,wednesday,17:10:00,evening
1007_wednesday,2019-09-04 17:11:00,drinks,wednesday,17:11:00,evening
1007_wednesday,2019-09-04 17:12:00,drinks,wednesday,17:11:00,evening
1007_wednesday,2019-09-04 17:13:00,checkout,wednesday,17:13:00,evening
1008_friday,2019-09-06 17:21:00,fruit,friday,17:21:00,evening
1008_friday,2019-09-06 17:22:00,drinks,friday,17:22:00,evening
1008_friday,2019-09-06 17:23:00,drinks,friday,17:22:00,evening
1008_friday,2019-09-06 17:24:00,drinks,friday,17:22:00,evening
1008_friday,2019-09-06 17:25:00,drinks,friday,17:22:00,evening
1008_friday,2019-09-06 17:26:00,drinks,friday,17:22:00,evening
1008_friday,2019-09-06 17:27:00,drinks,friday,17:22:00,evening
1008_friday,2019-09-06 17:28:00,checkout,friday,17:28:00,evening
1008_monday,2019-09-02 17:48:00,spices,monday,17:48:00,evening
1008_monday,2019-09-02 17:49:00,fruit,monday,17:49:00,evening
1008_monday,2019-09-02 17:50:00,checkout,monday,17:50:00,evening
1008_thursday,2019-09-05 17:28:00,fruit,thursday,17:28:00,evening
1008_thursday,2019-09-05 17:29:00,fruit,thursday,17:28:00,evening
1008_thursday,2019-09-05 17:30:00,fruit,thursday,17:28:00,evening
1008_thursday,2019-09-05 17:31:00,fruit,thursday,17:28:00,evening
1008_thursday,2019-09-05 17:32:00,dairy,thursday,17:32:00,evening
1008_thursday,2019-09-05 17:33:00,dairy,thursday,17:32:00,evening
1008_thursday,2019-09-05 17:34:00,dairy,thursday,17:32:00,evening
1008_thursday,2019-09-05 17:35:00,dairy,thursday,17:32:00,evening
1008_thursday,2019-09-05 17:36:00,dairy,thursday,17:32:00,evening
1008_thursday,2019-09-05 17:37:00,spices,thursday,17:37:00,evening
1008_thursday,2019-09-05 17:38:00,dairy,thursday,17:38:00,evening
1008_thursday,2019-09-05 17:39:00,checkout,thursday,17:39:00,evening
1008_tuesday,2019-09-03 17:58:00,dairy,tuesday,17:58:00,evening
